Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS148,12.99669,77.48625
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS149,12.99675,77.4862
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS151,12.99692,77.48618
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS153,12.99669,77.48647
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS154,12.99661,77.48641
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS155,12.99653,77.48644
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS156,12.99647,77.48635
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS157,12.9965,77.48629
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS158,12.99656,77.4863
Morgan Stanley,Ayush Private park layout,,RR Nagar Zone,,,MS159,12.99663,77.48641
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS121,12.9964,77.48741
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS122,12.99639,77.48756
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS123,12.99645,77.4876
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS124,12.99634,77.48777
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS125,12.99642,77.48782
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS126,12.99625,77.48765
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS127,12.99629,77.48792
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS128,12.99632,77.488
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS129,12.99626,77.48799
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS130,12.9962,77.48804
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS131,12.99614,77.488
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS132,12.99608,77.48826
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS133,12.99619,77.48821
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS134,12.99621,77.48825
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS135,12.99648,77.48834
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS136,12.99645,77.48824
